,Price,AskP0,AskPriceV5,AskV0,BidP0,BidPriceV5,BidV0,isadd3,isadd_ori,MedianBid,CountBid,MedianAsk,CountAsk,HighPrice,LowPrice,AskP0_delta,BidP0_delta,AskPriceV5_delte,BidPriceV5_delte
271,702.58,702.58,703,200,702.51,702.51,1800,2,2,702.6,4,702.58,2,702.78,702.58,0.01,0,-0.41,0
272,702.59,702.59,702.59,800,702.51,702.51,1600,2,1,702.585,6,702.63,3,703,702.51,-0.01,0,0.41,0
273,702.59,702.58,703,100,702.51,702.51,900,2,2,702.59,3,702.51,4,702.6,702.51,0.43,0.49,0.01,0.49
274,703,703.01,703.01,500,703,703,1400,2,0,703,6,703,4,703,702.51,0,-0.4,0,-0.4
275,702.6,703.01,703.01,500,702.6,702.6,1100,2,2,702.6,0,702.66,6,703,702.6,0.01,0.41,0.01,0.41
276,703.01,703.02,703.02,500,703.01,703.01,500,2,1,703.01,4,703.01,5,703.01,702.66,0,0,0.09,-0.37
277,703.01,703.02,703.11,400,703.01,702.64,100,2,0,703.02,1,703.01,4,703.02,703.01,0.09,-0.35,0,-0.01
278,702.66,703.11,703.11,1600,702.66,702.63,100,2,2,703.02,3,702.65,8,703.02,702.6,0.04,0.45,0.09,0.48
279,703.11,703.15,703.2,100,703.11,703.11,1200,2,1,703.11,4,703.06,9,703.11,702.61,0.15,0,0.1,0
280,703.11,703.3,703.3,1500,703.11,703.11,1000,2,2,703.11,0,703.11,2,703.11,703.11,0.2,0.29,0.63,0.29
281,703.33,703.5,703.93,100,703.4,703.4,1300,2,2,703.33,3,703.11,3,703.33,703.11,0.19,0,0.02,-0.07
282,703.4,703.69,703.95,100,703.4,703.33,300,2,1,703.5,1,703.4,3,703.5,703.4,0.17,0,0.05,-0.03
283,703.4,703.86,704,100,703.4,703.3,200,1,0,703.775,2,703.4,1,703.86,703.4,-0.53,-0.09,-0.05,-0.19
284,703.33,703.33,703.95,100,703.31,703.11,100,1,2,703.33,3,703.4,7,703.6,703.33,0.36,0.19,-0.02,0.39
285,703.5,703.69,703.93,100,703.5,703.5,4300,1,2,703.365,2,703.455,2,703.5,703.33,0.21,0.19,0,0.01
286,703.69,703.9,703.93,200,703.69,703.51,400,1,1,703.775,2,703.69,2,703.86,703.69,0,0.04,0,0.07
287,703.69,703.9,703.93,200,703.73,703.58,200,1,2,703.69,1,703.69,7,703.7,703.69,-0.21,-0.13,-0.24,-0.07
288,703.73,703.69,703.69,1100,703.6,703.51,100,1,0,703.73,0,703.73,2,703.73,703.73,0,-0.09,0,0
289,703.69,703.69,703.69,700,703.51,703.51,500,1,1,703.69,2,703.58,3,703.69,703.51,0,0.13,0.24,0
290,703.69,703.69,703.93,100,703.64,703.51,100,2,1,703.69,2,703.69,0,703.69,703.69,0.21,0.05,0,0.18
291,703.69,703.9,703.93,200,703.69,703.69,700,2,0,703.69,2,703.51,5,703.69,703.5,0,-0.09,0,-0.19
292,703.6,703.9,703.93,100,703.6,703.5,100,1,1,703.9,1,703.69,8,703.9,703.6,-0.3,-0.09,-0.23,0
293,703.6,703.6,703.7,400,703.51,703.5,100,0,2,703.9,1,703.69,5,703.9,703.6,0.04,0.09,0.23,0
294,703.64,703.64,703.93,100,703.6,703.5,100,0,2,703.63,4,703.69,2,703.7,703.6,0.29,0.15,0,0.25
295,703.7,703.93,703.93,500,703.75,703.75,500,1,1,703.64,1,703.7,1,703.7,703.64,0,0.04,0,-0.11
296,703.7,703.93,703.93,500,703.79,703.64,100,1,0,703.7,0,703.7,3,703.75,703.7,-0.24,-0.19,0,-0.1
297,703.64,703.69,703.93,300,703.6,703.54,300,1,0,703.93,1,703.695,6,703.93,703.64,0,-0.06,0,-0.03
298,703.55,703.69,703.93,100,703.54,703.51,100,1,0,703.69,2,703.6,4,703.69,703.55,0.11,-0.02,-0.13,0
299,703.54,703.8,703.8,500,703.52,703.51,100,1,1,703.69,1,703.54,1,703.69,703.54,-0.11,0.12,0,-0.01
300,703.54,703.69,703.8,100,703.64,703.5,100,0,2,703.54,1,703.51,5,703.6,703.51,0.1,-0.1,0,0
301,703.55,703.79,703.8,200,703.54,703.5,100,0,0,703.55,3,703.555,6,703.69,703.5,-0.19,-0.03,0,0.01
302,703.51,703.6,703.8,100,703.51,703.51,700,0,2,703.51,0,703.51,5,703.7,703.5,0.33,0.39,0.15,0.1
303,703.9,703.93,703.95,400,703.9,703.61,300,1,0,703.8,5,703.9,0,703.9,703.6,-0.29,-0.4,-0.31,-0.11
304,703.55,703.64,703.64,1000,703.5,703.5,7000,1,0,703.55,0,703.545,6,703.9,703.51,0,0,0,0
305,703.5,703.64,703.64,900,703.5,703.5,6500,0,2,703.64,1,703.5,5,703.64,703.5,0,0.1,0,0.01
306,703.54,703.64,703.64,900,703.6,703.51,100,0,2,703.59,2,703.5,1,703.64,703.5,0,0,0,-0.01
307,703.6,703.64,703.64,900,703.6,703.5,200,0,0,703.6,1,703.555,6,703.6,703.5,-0.09,-0.1,-0.04,0
308,703.5,703.55,703.6,300,703.5,703.5,13800,1,1,703.55,1,703.5,5,703.6,703.5,0,0,0,0
309,703.5,703.55,703.6,200,703.5,703.5,12800,1,2,703.55,2,703.525,2,703.55,703.5,0.05,0,0.04,0
310,703.55,703.6,703.64,300,703.5,703.5,11900,1,0,703.55,4,703.525,4,703.6,703.5,0,0.05,0,0.05
311,703.5,703.6,703.64,300,703.55,703.55,800,0,1,703.5,0,703.525,2,703.55,703.5,0,0,-0.02,0
312,703.5,703.6,703.62,300,703.55,703.55,900,0,1,703.5,0,703.5,0,703.5,703.5,0,-0.05,0,-0.05
313,703.5,703.6,703.62,400,703.5,703.5,10800,0,2,703.6,3,703.54,10,703.62,703.5,-0.05,0,-0.02,0
314,703.55,703.55,703.6,100,703.5,703.5,11000,0,0,703.55,7,703.5,1,703.55,703.5,-0.04,0,0,0
315,703.5,703.51,703.6,200,703.5,703.5,8500,0,2,703.5,0,703.5,5,703.5,703.5,0.04,-0.06,-0.03,-0.17
316,703.51,703.55,703.57,300,703.44,703.33,100,0,0,703.51,3,703.5,10,703.51,703.5,-0.22,-0.12,-0.18,-0.03
317,703.33,703.33,703.39,400,703.32,703.3,100,0,0,703.4,6,703.355,6,703.55,703.33,-0.01,-0.02,-0.07,-0.25
318,703.3,703.32,703.32,800,703.3,703.05,100,0,0,703.315,4,703.3,7,703.32,703.3,-0.03,-0.3,-0.03,-0.13
319,703,703.29,703.29,1500,703,702.92,400,0,1,703.175,2,703,14,703.3,703,-0.29,-0.08,-0.29,-0.12
320,703,703,703,1900,702.92,702.8,100,0,0,703,1,703,2,703,703,-0.29,-0.24,-0.29,-0.16
321,702.71,702.71,702.71,700,702.68,702.64,100,0,0,702.71,1,702.8,7,702.92,702.7,-0.07,-0.07,-0.03,-0.04
322,702.64,702.64,702.68,300,702.61,702.6,300,0,0,702.71,1,702.645,4,702.71,702.64,-0.04,-0.03,-0.07,-0.02
323,702.6,702.6,702.61,300,702.58,702.58,900,0,0,702.6,4,702.6,12,702.61,702.59,0,-0.07,0,-0.07
324,702.51,702.6,702.61,200,702.51,702.51,2700,0,1,702.6,1,702.58,5,702.6,702.51,-0.02,0,-0.01,0
325,702.51,702.58,702.6,200,702.51,702.51,2600,1,2,702.51,0,702.51,2,702.51,702.51,0.01,0,0.01,0
326,702.58,702.59,702.61,100,702.51,702.51,2200,0,0,702.58,1,702.51,1,702.58,702.51,0,0,0,0
